Name,Weight Division,Age Division,Belt Level,Gender,Placement,Gi or No Gi,School,Tournament
Annemieke DeMaggio ,Super-Heavy,Master 4,Purple,F,1st,Gi,Ribeiro Jiu-Jitsu ,IBJJF Worlds
Jodi Lynn Schwartz ,Super-Heavy,Master 4,Purple,F,2nd,Gi,Gracie Tampa South ,IBJJF Worlds
Melissa Veselovsky ,Middle,Master 4,Purple,F,3rd,Gi,Ares BJJ,IBJJF Worlds
Amy Konopka ,Light,Master 4,Brown,F,1st,Gi,Ribeiro Jiu-Jitsu ,IBJJF Worlds
Melissa Tanner ,Light,Master 4,Brown,F,2nd,Gi,Presa Brazilian Jiu-Jitsu ,IBJJF Worlds
Judyann Lee Burgess ,Light,Master 4,Brown,F,3rd,Gi,Cleber Jiu Jitsu ,IBJJF Worlds
Misty Victoria Shearer ,Super-Heavy,Master 4,Black,F,1st,Gi,Brazil 021 International ,IBJJF Worlds
Celia Regina Honorato de Oliveira ,Super-Heavy,Master 4,Black,F,2nd,Gi,GF Team,IBJJF Worlds
Luciana Tavares Dias ,Heavy,Master 4,Black,F,3rd,Gi,Gracie Humaita ,IBJJF Worlds
Marc Dezeuze ,Middle,Master 5,Blue,M,1st,Gi,Brazilian Power Team International ,IBJJF Worlds
Erito Pereira da Cunha ,Heavy,Master 5,Blue,M,2nd,Gi,Ribeiro Jiu-Jitsu ,IBJJF Worlds
Michael Bruce Driver ,Super-Heavy,Master 5,Blue,M,3rd,Gi,Team Royce Gracie ,IBJJF Worlds
Terry Stephens ,Ultra-Heavy,Master 5,Blue,M,3rd,Gi,Soul Fighters BJJ,IBJJF Worlds
Paul Ryan ,Medium-Heavy,Master 5,Purple,M,1st,Gi,Roberto Traven BJJ ,IBJJF Worlds
Pound Lamb ,Heavy,Master 5,Purple,M,2nd,Gi,Team Shawn Hammonds ,IBJJF Worlds
Imre Pogacsas ,Medium-Heavy,Master 5,Purple,M,3rd,Gi,Casa of Jiu-Jitsu ,IBJJF Worlds
Sheldon Scott Bradley ,Super-Heavy,Master 5,Purple,M,3rd,Gi,Ribeiro Jiu-Jitsu ,IBJJF Worlds
